training_step,0,1,2,3,4
2626962,163,239,59,326,240
2631995,163,239,59,326,240
2636966,163,239,59,326,230
2642170,163,239,59,326,230
2647283,163,239,59,326,230
2652432,163,239,59,326,230
2657490,163,239,59,326,230
2662363,163,239,59,326,230
2667364,163,239,59,326,230
2672220,163,239,59,326,230
2677207,163,239,59,326,230
2682221,163,239,59,326,230
2687338,163,239,59,326,230
2692228,163,239,59,316,230
2697222,163,239,59,316,220
2702351,163,239,59,316,220
2707389,163,239,59,316,220
2712462,163,239,59,316,210
2717618,163,239,59,306,210
2722504,163,239,59,306,210
2727476,163,239,59,306,210
2732511,163,239,59,296,210
2737388,163,239,59,296,210
2742308,163,239,59,296,200
2747449,163,239,59,286,200
2752373,163,239,59,286,200
2757469,163,239,59,286,200
2762378,163,239,59,286,190
2767304,163,239,59,286,190
2772390,153,239,59,276,190
2777756,153,239,59,276,190
2782952,153,239,59,276,190
2788052,153,239,59,276,180
2793165,153,239,59,276,180
2798177,153,239,59,276,180
2803132,153,239,59,276,180
2807956,153,239,59,276,180
2812824,153,239,59,276,180
2817924,153,239,59,276,180
2822640,153,239,59,276,180
2827673,153,239,59,276,180
2832547,153,239,59,276,180
2837453,153,239,59,276,180
2842304,153,239,59,276,180
2847149,153,239,59,276,180
2851773,153,239,59,276,180
2856666,153,239,59,276,180
2861398,153,239,59,276,180
2866524,153,239,59,276,170
2871743,153,239,59,276,170
2876653,153,239,59,276,170
2881384,153,239,59,276,170
2886475,153,239,59,276,160
2891498,153,239,59,276,160
2896796,153,239,59,276,160
2901587,153,239,59,276,160
2906489,153,239,59,266,160
2911449,153,239,59,266,160
2916678,153,239,59,266,160
2921515,153,239,59,266,160
2926517,153,239,59,266,160
2931676,153,239,59,266,160
2936755,153,239,59,266,160
2941837,153,239,59,266,160
2946865,153,239,59,266,160
2951884,153,239,59,266,160
2956889,153,239,59,266,160
2962183,153,239,59,266,160
2967101,153,239,59,266,160
2972318,153,239,59,266,160
2977391,153,239,59,266,160
2982437,153,239,59,266,160
2987594,153,239,59,266,160
2992677,153,239,59,266,160
2997848,153,239,59,266,160
3002784,153,239,59,266,160
3007895,153,239,59,266,160
3012861,153,239,59,266,160
3017813,153,239,59,266,160
3022754,153,239,59,266,160
3027651,153,239,59,266,160
3032752,153,239,59,266,160
3037624,153,239,59,266,160
3042622,153,239,59,266,160
3047826,153,239,59,266,160
3052848,153,239,59,266,160
3057866,153,239,59,266,160
3063013,153,239,59,266,160
3068131,153,239,59,266,160
3073003,153,239,59,266,160
3078031,153,239,59,266,160
3083048,153,239,59,266,160
3088126,153,239,59,266,160
3093175,153,239,59,266,160
3098431,153,239,59,266,160
3103386,153,239,59,266,160
3108469,153,239,59,266,160
3113541,153,239,59,266,160
3118586,153,239,59,266,160
3123604,153,239,59,266,160
3128634,153,239,59,266,160
3133633,153,239,59,266,160
3138599,153,239,59,266,160
3143627,153,239,59,266,160
3148780,153,239,59,266,160
3153782,153,239,59,266,160
3158968,153,239,59,266,160
3164237,153,239,59,266,160
3169322,143,239,59,266,150
3174674,143,239,59,266,150
3179492,143,239,59,266,150
3184597,143,239,59,266,150
3189623,143,239,59,266,150
3194618,143,239,59,266,140
3199991,133,239,59,266,140
3205995,133,239,59,266,140
3210964,133,229,59,266,140
3216852,133,229,49,266,130
3222041,133,229,49,266,130
3226987,133,229,49,266,130
3232236,123,229,49,266,130
3237355,123,229,49,266,130
3242738,123,229,49,266,120
3248339,123,229,39,266,120
3254005,123,229,39,266,120
3259352,123,229,39,266,120
3264573,123,229,39,266,120
3269953,123,229,39,266,110
3275279,123,229,39,266,110
3280352,123,229,39,266,110
3285449,123,229,39,266,110
3290758,123,229,39,266,110
3296439,123,229,39,266,100
3301976,123,229,29,266,100
3307559,123,229,29,266,100
3313505,123,229,29,256,100
3319237,123,229,29,256,100
3324979,123,229,29,256,90
3330663,123,229,29,256,90
3336122,123,229,29,256,90
3341506,123,229,29,256,90
3347038,123,229,29,256,90
3352510,123,229,29,256,90
3357946,123,229,29,256,80
3363856,123,229,29,256,80
3369820,123,229,29,256,80
3375315,123,229,29,256,80
